section,name,height_m,year,primary_use,town,construction_type,lat,lng,type,remarks,source
Structures taller than 300 metres,Skelton Mast,365.0,2001,communication,"Skelton , Cumbria",guyed steel lattice mast,54.731806,-2.883028,MAST_COMMUNICATION,Insulated against ground.,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Belmont Mast,351.65,1965,communication,"Donington on Bain , Lincolnshire",guyed tubular steel mast,53.3358528,-0.171975,MAST_COMMUNICATION,"Originally 1,265 ft (386 m), modified height of 1,272 ft (388 m) was the tallest construction in the EU , and tallest tubular steel mast in the world.",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,New Caldbeck Mast,337.2,2008,communication,"Caldbeck , Cumbria",guyed steel lattice mast,54.77333,-3.09056,MAST_COMMUNICATION,"Replaced the original Caldbeck mast, which was dismantled in 2008.",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Emley Moor Tower,330.5,1970,communication,"Huddersfield , West Yorkshire",concrete tower,53.612056,-1.6644139,TOWER_COMMUNICATION,"Tallest freestanding structure in UK. Original 137 m (449 ft) tower built in 1956, replaced 1964. Second 385 m (1,263 ft) guyed tubular mast was built 1964 to replace the tower, but collapsed in 1969 due to icing and strong winds.",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Durris Mast,322.6,1961,communication,"Durris, Aberdeenshire",guyed steel lattice mast,57.0,-2.39,MAST_COMMUNICATION,Tallest structure in Scotland.,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Arfon Mast,317.4,1962,communication,"Penygroes , Gwynedd",guyed steel lattice mast,53.0199361,-4.2735028,MAST_COMMUNICATION,Tallest structure in Wales.,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Emley Moor Temporary Broadcasting Mast,317.0,2018,communication,"Huddersfield , West Yorkshire",guyed lattice steel mast,53.611075,-1.6656333,MAST_COMMUNICATION,"Temporary mast, used for transmitting at Emley Moor during renovation of antenna system. In place from 2018 to 2023. [ 1 ]",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Winter Hill Mast,309.5,1965,communication,"Bolton , Greater Manchester",guyed tubular steel mast,53.6255944,-2.5147917,MAST_COMMUNICATION,"Original 137 m (449 ft) tower built in 1956, replaced in 1964. DTT mast raised height to 315.4 m (1,035 ft), but was removed after digital switchover.",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,Waltham Mast,315.0,1968,communication,"Melton Mowbray , Leicestershire",guyed tubular steel mast,52.8014389,-0.8008444,MAST_COMMUNICATION,"Original mast built in 1966, collapsed before completion later that year. Replaced by a new mast with the same height.",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures taller than 300 metres,The Shard,309.6,2012,various,"Southwark , London",skyscraper,51.5045,-0.0865,BUILDING,Tallest building in Western Europe (Was the tallest building in the EU until Britain's departure on 31 January 2020).,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
